law_id	terms_unique	degree	weighted_degree	betweenness	closeness	pagerank	component_id	component_size
MNCLW00828	24	379	1092.0000	0.000055	0.628101	0.000457	0	810
MNCLW00829	26	375	1045.0000	0.000041	0.626080	0.000443	0	810
MNCLW00830	30	578	2064.0000	0.000596	0.748286	0.000760	0	810
MNCLW00831	28	534	1639.0000	0.000471	0.717913	0.000659	0	810
MNCLW00832	24	481	1048.0000	0.000370	0.684448	0.000516	0	810
MNCLW00833	28	499	1332.0000	0.000403	0.695458	0.000583	0	810
MNCLW00834	16	252	421.0000	0.000003	0.569705	0.000289	0	810
MNCLW00835	381	696	10716.0000	0.001661	0.844054	0.002736	0	810
MNCLW00836	642	652	15626.0000	0.001442	0.805608	0.003764	0	810
MNCLW00837	2	0	0.0000	0.000000	0.000000	0.000184	31	1
MNCLW00838	1	0	0.0000	0.000000	0.000000	0.000184	32	1
MNCLW00839	9	418	717.0000	0.000227	0.648515	0.000425	0	810
MNCLW00840	385	621	11289.0000	0.000681	0.780559	0.002754	0	810
MNCLW00841	4	311	345.0000	0.000212	0.595423	0.000368	0	810
MNCLW00842	118	551	5894.0000	0.000317	0.729351	0.001522	0	810
MNCLW00843	4	219	283.0000	0.000012	0.556267	0.000257	0	810
MNCLW00844	35	442	1701.0000	0.000143	0.661750	0.000585	0	810
