Unnamed: 0	id	leg_term	desc	pos_tag	term_root	file_containing	line	word_place
977	5610016	тамхи үйлдвэрлэгч	тамхины үйлдвэрлэл, худалдаа, импортын үйл ажиллагаа эрхэлдэг хуулийн этгээдийг	NM	үйлдвэрлэгч	MNCLW00014, MNCLW00509, MNCLW00561, MNCLW00639	MNCLW00014:  | MNCLW00509:  | MNCLW00561:  | MNCLW00639: 	MNCLW00014:  | MNCLW00509:  | MNCLW00561:  | MNCLW00639: 
978	6520033	шууд бус оролцогч	төлбөр тооцоог гэрээний үндсэн дээр шууд оролцогчоор дамжуулан гүйцэтгэж байгаа оролцогчийг	NM	оролцогч	MNCLW00652	MNCLW00652: 	MNCLW00652: 
979	6250017	паркийн удирдлага	паркийн үйл ажиллагааг зохион байгуулах, хөгжүүлэх чиг үүрэг бүхий тусгай зөвшөөрөл эзэмшигч хуулийн этгээдийг	NM	удирдлага	MNCLW00137, MNCLW00594, MNCLW00624, MNCLW00625, MNCLW00641	MNCLW00137:  | MNCLW00594:  | MNCLW00624:  | MNCLW00625:  | MNCLW00641: 	MNCLW00137:  | MNCLW00594:  | MNCLW00624:  | MNCLW00625:  | MNCLW00641: 
980	7810020	ионжуулагч цацраг	шууд болон шууд бус замаар бодис, биологийн биет дотор хос ион үүсгэх цацрагийг	NM	цацраг	MNCLW00009, MNCLW00781	MNCLW00009:  | MNCLW00781: 	MNCLW00009:  | MNCLW00781: 
981	3890017	хөдөлгөөний дүрэм	олон улсын улаан загалмай, улаан хавирган сар нийгэмлэгүүдийн холбооны бага хурлаар 1986 онд женевт батлагдаж, 1995 онд нэмэлт өөрчлөлт орсон олон улсын улаан загалмай, улаан хавирган сар хөдөлгөөний дүрмийг	NM	дүрэм	MNCLW00198, MNCLW00239, MNCLW00389, MNCLW00775	MNCLW00198:  | MNCLW00239:  | MNCLW00389:  | MNCLW00775: 	MNCLW00198:  | MNCLW00239:  | MNCLW00389:  | MNCLW00775: 
974	6630035	бохирдуулах бодис	хаягдал усанд агуулагдаж, хүрээлэн байгаа орчныг бохирдуулж байгаа бодис, тэдгээрийн хольцыг	NM	бодис	MNCLW00006, MNCLW00009, MNCLW00061, MNCLW00239, MNCLW00639, MNCLW00661, MNCLW00663, MNCLW00827	MNCLW00006:  | MNCLW00009:  | MNCLW00061:  | MNCLW00239:  | MNCLW00639:  | MNCLW00661:  | MNCLW00663:  | MNCLW00827: 	MNCLW00006:  | MNCLW00009:  | MNCLW00061:  | MNCLW00239:  | MNCLW00639:  | MNCLW00661:  | MNCLW00663:  | MNCLW00827: 
982	5840014	төмөр замын шугам	төмөр замын өртөө хоорондын зам болон өртөөн дэх түүний шууд үргэлжлэлийг	NM	шугам	MNCLW00584	MNCLW00584: 	MNCLW00584: 
984	5910018	шалгагдагч этгээд	төсвийн байгууллага, тусгай сан, төрийн болон орон нутгийн өмчит, төрийн болон орон нутгийн өмчийн оролцоотой хуулийн этгээд, төрийн чиг үүргийг хууль тогтоомж, гэрээний үндсэн дээр шилжүүлэн авсан этгээд болон хуульд заасны дагуу төрийн аудит хийгдэх аливаа этгээдийг	NM	этгээд	MNCLW00591	MNCLW00591: 	MNCLW00591: 
985	6900018	ажил хийхэд бэлэн	хөдөлмөрийн тухай хуульд заасан хөдөлмөрийн гэрээ, онцгой нөхцөл бүхий хөдөлмөрийн гэрээ, иргэний хуулийн 359 дүгээр зүйлд заасан хөлсөөр ажиллах гэрээ, тэдгээртэй адилтгах гэрээ байгуулахаас татгалзахгүй байхыг	NM	бэлэн	MNCLW00690	MNCLW00690: 	MNCLW00690: 
986	2310019	шүүгчийн захирамж	захиргааны хэрэг шүүхэд хянан шийдвэрлэх ажиллагааны явцад шүүгчээс дангаараа гаргасан шийдвэрийг	NM	захирамж	MNCLW00029, MNCLW00087, MNCLW00140, MNCLW00173, MNCLW00180, MNCLW00191, MNCLW00231, MNCLW00241, MNCLW00255, MNCLW00304, MNCLW00383, MNCLW00521, MNCLW00547, MNCLW00555, MNCLW00603, MNCLW00642, MNCLW00807, MNCLW00809, MNCLW00824, MNCLW00826	MNCLW00029:  | MNCLW00087:  | MNCLW00140:  | MNCLW00173:  | MNCLW00180:  | MNCLW00191:  | MNCLW00231:  | MNCLW00241:  | MNCLW00255:  | MNCLW00304: 695, 695, 695, 695 | MNCLW00383:  | MNCLW00521:  | MNCLW00547:  | MNCLW00555:  | MNCLW00603:  | MNCLW00642:  | MNCLW00807:  | MNCLW00809:  | MNCLW00824:  | MNCLW00826: 	MNCLW00029:  | MNCLW00087:  | MNCLW00140:  | MNCLW00173:  | MNCLW00180:  | MNCLW00191:  | MNCLW00231:  | MNCLW00241:  | MNCLW00255:  | MNCLW00304: 2398, 2405, 6560, 6567 | MNCLW00383:  | MNCLW00521:  | MNCLW00547:  | MNCLW00555:  | MNCLW00603:  | MNCLW00642:  | MNCLW00807:  | MNCLW00809:  | MNCLW00824:  | MNCLW00826: 
987	6190027	мэргэжлийн зөвлөл	тэсэрч дэлбэрэх бодис, тэсэлгээний хэрэгслийн эргэлтэд хяналт тавих чиг үүрэгтэй төрийн байгууллага болон мэргэжлийн холбоо, судалгаа, шинжилгээний байгууллагын төлөөллийг оролцуулсан зөвлөлийг	NM	зөвлөл	MNCLW00047, MNCLW00060, MNCLW00076, MNCLW00146, MNCLW00147, MNCLW00157, MNCLW00239, MNCLW00274, MNCLW00351, MNCLW00440, MNCLW00530, MNCLW00542, MNCLW00615, MNCLW00619, MNCLW00681, MNCLW00781, MNCLW00819, MNCLW00827, MNCLW00836	MNCLW00047:  | MNCLW00060:  | MNCLW00076:  | MNCLW00146:  | MNCLW00147:  | MNCLW00157:  | MNCLW00239:  | MNCLW00274:  | MNCLW00351:  | MNCLW00440:  | MNCLW00530:  | MNCLW00542:  | MNCLW00615:  | MNCLW00619:  | MNCLW00681:  | MNCLW00781:  | MNCLW00819:  | MNCLW00827:  | MNCLW00836: 	MNCLW00047:  | MNCLW00060:  | MNCLW00076:  | MNCLW00146:  | MNCLW00147:  | MNCLW00157:  | MNCLW00239:  | MNCLW00274:  | MNCLW00351:  | MNCLW00440:  | MNCLW00530:  | MNCLW00542:  | MNCLW00615:  | MNCLW00619:  | MNCLW00681:  | MNCLW00781:  | MNCLW00819:  | MNCLW00827:  | MNCLW00836: 
988	5840021	төмөр замын гарам	авто болон явган хүний зам төмөр замтай нэг түвшинд огтлолцсоныг	NM	гарам	MNCLW00198, MNCLW00239	MNCLW00198:  | MNCLW00239: 	MNCLW00198:  | MNCLW00239: 
989	7700016	баталгаат хугацаа	үйлдвэрлэгч, худалдагч, гүйцэтгэгчийн бараа, ажил, үйлчилгээний чанар, аюулгүй байдалд гаргаж өгсөн хугацааг	NM	хугацаа	MNCLW00004, MNCLW00253, MNCLW00384, MNCLW00619, MNCLW00770, MNCLW00836	MNCLW00004:  | MNCLW00253:  | MNCLW00384:  | MNCLW00619:  | MNCLW00770:  | MNCLW00836: 	MNCLW00004:  | MNCLW00253:  | MNCLW00384:  | MNCLW00619:  | MNCLW00770:  | MNCLW00836: 
528	493	зүй ёсны монополь	тухайн бүтээгдэхүүний зах зээлд нийлүүлэлт хийж байгаа нэг этгээд байхад л нийгмийн дундаж зардал, хамгийн бага байх зах зээлд дангаараа үйл ажиллагаа явуулж байгаа этгээд	NM	монополь	MNCLW00239, MNCLW00519, MNCLW00670, MNCLW00825	MNCLW00239:  | MNCLW00519:  | MNCLW00670:  | MNCLW00825: 	MNCLW00239:  | MNCLW00519:  | MNCLW00670:  | MNCLW00825: 
983	6090059	түншлэлийн үе шат	түншлэлийн төслийн урьдчилсан болон тохиромжтой байдлын үнэлгээ хийх, урьдчилсан техник, эдийн засгийн үндэслэл, нарийвчилсан техник, эдийн засгийн үндэслэл болон түншлэлийн эх төсөл боловсруулах, түншлэлийн төслийг тодорхойлох, хувийн хэвшлийн түншлэгчийг сонгон шалгаруулах, түншлэлийн гэрээг байгуулах, гэрээний удирдлагыг хангах, төслийг хэрэгжүүлэх буюу гэрээний дагуу нийтийн зориулалттай дэд бүтэц, төрийн үйлчилгээг үзүүлэх, төслийн хэрэгжилтэд хяналт тавьж, мониторинг хийх, төслийн үйл ажиллагаа болон үр дүнд аудит хийх, тайлагнах, хувийн хэвшлийн түншлэгч түншлэлээс гарах, дэд бүтцийг төрийн түншлэгчид шилжүүлэх зэрэг түншлэлийн төслийн төлөвлөлт, хэрэгжилтийн бүх үе шатыг	NM	шат			
914	5270018	гаагийн хэлэлцээр	1999 онд баталж, нэмэлт, өөрчлөлт оруулсан бүтээгдэхүүний загварын олон улсын бүртгэлийн тухай гаагийн хэлэлцээрийн женевийн акт болон түүнийг дагаж гарсан дүрэм, журам, зааврыг	NM	хэлэлцээр	MNCLW00527	MNCLW00527: 	MNCLW00527: 
