	id	doc_id	term_id
1652	5203	MNCLW00005	956
1641	5196	MNCLW00005	1680026
1639	5196	MNCLW00005	1560018
1699	5252	MNCLW00005	5490024
1500	5082	MNCLW00005	3980016
1626	5185	MNCLW00005	1400028
1496	5078	MNCLW00005	794
1441	5028	MNCLW00005	448
1440	5026	MNCLW00005	1060
1439	5026	MNCLW00005	50025
1435	5024	MNCLW00005	50023
1433	5023	MNCLW00005	50022
1430	5022	MNCLW00005	50021
1428	5021	MNCLW00005	50020
1426	5020	MNCLW00005	6600023
1423	5019	MNCLW00005	6700020
1422	5019	MNCLW00005	6600024
1418	5018	MNCLW00005	5950065
1442	5028	MNCLW00005	50027
1413	5015	MNCLW00005	50024
1408	5011	MNCLW00005	5830012
1407	5011	MNCLW00005	6600022
1406	5011	MNCLW00005	531
1405	5011	MNCLW00005	5720082
1403	5011	MNCLW00005	2770030
1401	5010	MNCLW00005	4940013
1400	5007	MNCLW00005	6600020
1399	5007	MNCLW00005	1960013
1398	5007	MNCLW00005	6600021
1397	5007	MNCLW00005	6770048
1497	5078	MNCLW00005	6190023
1412	5014	MNCLW00005	1980013
1444	5030	MNCLW00005	7350014
1427	5021	MNCLW00005	586
1447	5032	MNCLW00005	6140037
1482	5066	MNCLW00005	991
1481	5066	MNCLW00005	437
1480	5066	MNCLW00005	450
1445	5030	MNCLW00005	50029
1475	5053	MNCLW00005	5720066
1473	5050	MNCLW00005	8400025
1472	5049	MNCLW00005	1480013
1471	5046	MNCLW00005	356
1470	5042	MNCLW00005	2440026
1469	5040	MNCLW00005	50039
1468	5040	MNCLW00005	3890013
1466	5038	MNCLW00005	50037
1477	5053	MNCLW00005	7950013
1463	5038	MNCLW00005	7160014
1465	5038	MNCLW00005	3300017
1448	5032	MNCLW00005	1960012
1452	5034	MNCLW00005	2650021
1453	5034	MNCLW00005	6140040
1455	5034	MNCLW00005	1470030
1450	5032	MNCLW00005	50031
1458	5034	MNCLW00005	891
1460	5036	MNCLW00005	1460019
1461	5036	MNCLW00005	50035
1462	5038	MNCLW00005	205
1456	5034	MNCLW00005	50033
1832	6031	MNCLW00006	5720034
1859	6038	MNCLW00006	6630035
1834	6032	MNCLW00006	450
1842	6034	MNCLW00006	60012
1854	6038	MNCLW00006	5170022
1855	6038	MNCLW00006	90025
1856	6038	MNCLW00006	90027
1858	6038	MNCLW00006	1520015
1861	6040	MNCLW00006	204
1907	6094	MNCLW00006	5720054
1885	6083	MNCLW00006	1960013
1887	6085	MNCLW00006	5660016
1888	6085	MNCLW00006	1108
1900	6091	MNCLW00006	730021
1916	6101	MNCLW00006	2770030
1917	6101	MNCLW00006	2310022
1918	6105	MNCLW00006	5720223
1830	6030	MNCLW00006	4350013
1867	6045	MNCLW00006	5720082
1829	6030	MNCLW00006	5720060
1910	6096	MNCLW00006	2310013
1826	6030	MNCLW00006	1480013
1827	6030	MNCLW00006	8120016
1789	6003	MNCLW00006	60014
1791	6005	MNCLW00006	7330028
1794	6008	MNCLW00006	4940013
1795	6011	MNCLW00006	60010
1796	6015	MNCLW00006	5720066
1798	6017	MNCLW00006	60016
1799	6018	MNCLW00006	60017
1800	6018	MNCLW00006	8400023
1790	6005	MNCLW00006	8
1802	6019	MNCLW00006	2340031
1804	6021	MNCLW00006	917
1806	6022	MNCLW00006	205
1808	6022	MNCLW00006	7160014
1809	6022	MNCLW00006	3300017
1810	6022	MNCLW00006	531
1813	6024	MNCLW00006	5560021
1825	6030	MNCLW00006	90020
1801	6019	MNCLW00006	60018
1959	7045	MNCLW00007	10
1966	7050	MNCLW00007	2490030
1967	7051	MNCLW00007	2490016
1968	7053	MNCLW00007	586
1973	7055	MNCLW00007	2490036
1984	7061	MNCLW00007	2490050
2005	7068	MNCLW00007	398
1988	7062	MNCLW00007	1030
1999	7065	MNCLW00007	5660016
2000	7065	MNCLW00007	1560020
2006	7075	MNCLW00007	2770030
2007	7075	MNCLW00007	2310022
1955	7043	MNCLW00007	846
1986	7061	MNCLW00007	2490038
1952	7042	MNCLW00007	2490015
1961	7046	MNCLW00007	2420017
1949	7042	MNCLW00007	1980016
1951	7042	MNCLW00007	2490013
1922	7009	MNCLW00007	70014
1923	7012	MNCLW00007	4940013
1927	7018	MNCLW00007	70015
1928	7019	MNCLW00007	70016
1929	7019	MNCLW00007	6770048
1930	7019	MNCLW00007	250024
1925	7017	MNCLW00007	5830012
1932	7021	MNCLW00007	70018
1934	7022	MNCLW00007	70019
1935	7023	MNCLW00007	6140040
1936	7023	MNCLW00007	9
1940	7035	MNCLW00007	6700045
1931	7020	MNCLW00007	70017
1944	7038	MNCLW00007	205
2239	9151	MNCLW00009	718
2241	9152	MNCLW00009	1950019
2243	9154	MNCLW00009	1470023
2247	9154	MNCLW00009	8400025
2279	9172	MNCLW00009	7040017
2278	9171	MNCLW00009	8400024
2281	9173	MNCLW00009	240011
2286	9175	MNCLW00009	3940032
2287	9175	MNCLW00009	6720020
2236	9150	MNCLW00009	1030
2261	9160	MNCLW00009	1470043
2235	9149	MNCLW00009	791
2198	9134	MNCLW00009	1373
2232	9148	MNCLW00009	5110031
2224	9143	MNCLW00009	2310023
2216	9139	MNCLW00009	5170022
2211	9138	MNCLW00009	1004
2207	9137	MNCLW00009	6930021
2205	9136	MNCLW00009	6700020
2187	9124	MNCLW00009	6140053
2182	9120	MNCLW00009	6650014
2165	9107	MNCLW00009	433
2181	9119	MNCLW00009	7040031
2180	9119	MNCLW00009	7920013
2290	9176	MNCLW00009	6970012
2233	9149	MNCLW00009	3980016
2303	9185	MNCLW00009	5170014
2539	9305	MNCLW00009	6140068
2309	9192	MNCLW00009	710024
2164	9105	MNCLW00009	90034
2550	9316	MNCLW00009	2770030
2549	9315	MNCLW00009	316
2521	9284	MNCLW00009	6060018
2511	9275	MNCLW00009	5490025
2502	9273	MNCLW00009	359
2496	9266	MNCLW00009	303
2476	9258	MNCLW00009	5110028
2450	9249	MNCLW00009	760018
2446	9248	MNCLW00009	846
2440	9246	MNCLW00009	1460019
2439	9246	MNCLW00009	5950065
2306	9189	MNCLW00009	5560019
2438	9246	MNCLW00009	760047
2417	9240	MNCLW00009	2340031
2406	9236	MNCLW00009	2350015
2373	9230	MNCLW00009	4350013
2372	9230	MNCLW00009	1560020
2365	9230	MNCLW00009	250024
2364	9230	MNCLW00009	2310022
2362	9230	MNCLW00009	6840032
2353	9223	MNCLW00009	1520015
2344	9217	MNCLW00009	60012
2335	9209	MNCLW00009	8400020
2322	9199	MNCLW00009	1580014
2311	9192	MNCLW00009	600013
2428	9243	MNCLW00009	1980013
2163	9104	MNCLW00009	2410021
2441	9247	MNCLW00009	138
2161	9103	MNCLW00009	623
2057	9031	MNCLW00009	60014
2056	9031	MNCLW00009	205
2050	9030	MNCLW00009	90025
2047	9030	MNCLW00009	8270019
2045	9029	MNCLW00009	8270013
2044	9029	MNCLW00009	2310013
2043	9029	MNCLW00009	8360012
2040	9029	MNCLW00009	5490021
2039	9028	MNCLW00009	90023
2035	9027	MNCLW00009	90022
2034	9027	MNCLW00009	1960013
2030	9025	MNCLW00009	8400023
2058	9031	MNCLW00009	7160014
2028	9025	MNCLW00009	90020
2025	9024	MNCLW00009	6630035
2162	9104	MNCLW00009	794
2020	9022	MNCLW00009	90017
2019	9022	MNCLW00009	6140040
2018	9021	MNCLW00009	6770048
2017	9020	MNCLW00009	90015
2015	9019	MNCLW00009	90014
2013	9019	MNCLW00009	90024
2011	9018	MNCLW00009	8
2010	9015	MNCLW00009	4940013
2009	9012	MNCLW00009	90013
2008	9012	MNCLW00009	60010
2026	9024	MNCLW00009	6630036
2059	9031	MNCLW00009	60016
2053	9031	MNCLW00009	5720066
2061	9031	MNCLW00009	60018
2157	9099	MNCLW00009	437
2140	9084	MNCLW00009	450
2138	9082	MNCLW00009	760054
2137	9082	MNCLW00009	6700018
2136	9082	MNCLW00009	1980016
2134	9081	MNCLW00009	531
2127	9075	MNCLW00009	7060017
2125	9075	MNCLW00009	6700016
2121	9073	MNCLW00009	6140026
2060	9031	MNCLW00009	60017
2113	9065	MNCLW00009	1480013
2110	9060	MNCLW00009	5130022
2106	9058	MNCLW00009	5720223
2120	9072	MNCLW00009	1560025
2104	9058	MNCLW00009	5720232
2062	9031	MNCLW00009	3300017
2105	9058	MNCLW00009	2650025
2067	9032	MNCLW00009	90027
2072	9033	MNCLW00009	90028
2074	9034	MNCLW00009	7810020
2064	9031	MNCLW00009	5560021
2081	9035	MNCLW00009	90030
2087	9036	MNCLW00009	90031
2088	9037	MNCLW00009	90032
2089	9038	MNCLW00009	90033
2096	9042	MNCLW00009	3300021
2076	9034	MNCLW00009	90029
2552	10003	MNCLW00010	1470040
2553	10003	MNCLW00010	5720066
2554	10003	MNCLW00010	1570016
2555	10003	MNCLW00010	270023
2576	11009	MNCLW00011	5720058
2589	11014	MNCLW00011	2310013
2584	11012	MNCLW00011	4940018
2583	11012	MNCLW00011	710024
2578	11009	MNCLW00011	2770030
2568	11004	MNCLW00011	6700020
2565	11004	MNCLW00011	240011
2567	11004	MNCLW00011	4810031
2564	11004	MNCLW00011	356
2562	11003	MNCLW00011	7160014
2561	11003	MNCLW00011	5720034
2560	11002	MNCLW00011	938
2593	12002	MNCLW00012	938
2594	12003	MNCLW00012	5720034
2595	12003	MNCLW00012	7160014
2637	13019	MNCLW00013	5720059
2622	13010	MNCLW00013	240011
2607	13006	MNCLW00013	5720058
